ID,NameSubtext_lang,Description_lang,AuraDescription_lang
20164,"Rank 1","Fills the Paladin with the spirit of justice for $d, giving each melee attack a chance to stun for $20170d.  Only one Seal can be active on the Paladin at any one time.

Unleashing this Seal's energy will judge an enemy for $20184d, preventing them from fleeing.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.","Melee attacks have a chance to stun for $20170d."
20165,"Rank 1","Fills the Paladin with divine light for $d, giving each melee attack a chance to heal the Paladin for $20167s1.  Only one Seal can be active on the Paladin at any one time.

Unleashing this Seal's energy will judge an enemy for $20185d, granting melee attacks made against the judged enemy a chance of healing the attacker for $20267s1.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.","Melee attacks have a chance to heal you for $20167s1."
20166,"Rank 1","Fills the Paladin with divine wisdom for $d, giving each melee attack a chance to restore $20168s1 of the Paladin's mana.  Only one Seal can be active on the Paladin at any one time.

Unleashing this Seal's energy will judge an enemy for $20186d, granting attacks and spells used against the judged enemy a chance to restore $20268s1 mana to the attacker.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.","Melee attacks have a chance to restore $20168s1 mana."
20174,"Rank 1","Reduces the cooldown of your Blessing of Protection by $/1000;s1 sec and increases the duration of your Blessing of Freedom by $/1000;s2 sec.",
10769,,,
20175,"Rank 2","Reduces the cooldown of your Blessing of Protection by $/1000;s1 sec and increases the duration of your Blessing of Freedom by $/1000;s2 sec.",
20177,"Rank 1","Gives you a $h% chance after being hit by any damaging attack that the next $20178n weapon swings within $20178d will generate an additional attack.",
20178,,,"Each weapon swing generates an additional attack."
20179,"Rank 2","Gives you a $h% chance after being hit by any damaging attack that the next $20178n weapon swings within $20178d will generate an additional attack.",
20180,"Rank 4","Gives you a $h% chance after being hit by any damaging attack that the next $20178n weapon swings within $20178d will generate an additional attack.",
20181,"Rank 3","Gives you a $h% chance after being hit by any damaging attack that the next $20178n weapon swings within $20178d will generate an additional attack.",
20182,"Rank 5","Gives you a $h% chance after being hit by any damaging attack that the next $20178n weapon swings within $20178d will generate an additional attack.",
20184,"Rank 1",,"Cannot flee."
20185,"Rank 1",,"Melee attacks made against you have a chance of causing the attacker to be healed for $20267s1."
20186,"Rank 1",,"Attacks and spells used against you have a chance of restoring $20268s1 of the attacker's mana."
20188,"Rank 2",,"Increases Holy damage taken by up to $s1."
20189,"Rank 1","Increases your chance to hit with melee weapons and spells by $s1%.",
20190,"Rank 2","The hunter and group members within $a1 yards take on the aspect of the wild, increasing Nature resistance by $s1.  Only one Aspect can be active at a time.","Nature resistance increased by $s1."
20192,"Rank 2","Increases your chance to hit with melee weapons and spells by $s1%.",
20193,"Rank 3","Increases your chance to hit with melee weapons and spells by $s1%.",
20194,"Rank 1","Increases the duration of your Blessing of Salvation by $/60000;s1 min.",
20195,"Rank 2","Increases the duration of your Blessing of Salvation by $/60000;s1 min.",
20196,"Rank 1","Increases all damage you deal when a one-handed melee weapon is equipped by $s1%.",
20197,"Rank 2","Increases all damage you deal when a one-handed melee weapon is equipped by $s1%.",
20198,"Rank 3","Increases all damage you deal when a one-handed melee weapon is equipped by $s1%.",
20199,"Rank 4","Increases all damage you deal when a one-handed melee weapon is equipped by $s1%.",
20200,"Rank 5","Increases all damage you deal when a one-handed melee weapon is equipped by $s1%.",
20205,"Rank 1","Gives your Flash of Light and Holy Light spells a $s1% chance to not lose casting time when you take damage.",
20206,"Rank 2","Gives your Flash of Light and Holy Light spells a $s1% chance to not lose casting time when you take damage.",
20207,"Rank 3","Gives your Flash of Light and Holy Light spells a $s1% chance to not lose casting time when you take damage.",
20208,"Rank 5","Gives your Flash of Light and Holy Light spells a $s1% chance to not lose casting time when you take damage.",
20209,"Rank 4","Gives your Flash of Light and Holy Light spells a $s1% chance to not lose casting time when you take damage.",
20210,"Rank 1","After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a $h% chance to gain mana equal to $s2% of the base cost of the spell.",
20212,"Rank 2","After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a $h% chance to gain mana equal to $s2% of the base cost of the spell.",
20213,"Rank 3","After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a $h% chance to gain mana equal to $s2% of the base cost of the spell.",
20214,"Rank 4","After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a $h% chance to gain mana equal to $s2% of the base cost of the spell.",
20215,"Rank 5","After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a $h% chance to gain mana equal to $s2% of the base cost of the spell.",
20216,,"When activated, gives your next Flash of Light, Holy Light, or Holy Shock spell a $s1% critical effect chance.","Critical effect chance of next Flash of Light, Holy Light, or Holy Shock spell increased by $s1%."
20217,,"Places a Blessing on the friendly target, increasing total stats by $s1% for $d.  Players may only have one Blessing on them per Paladin at any one time.","Increases stats by $s1%."
20218,,"Increases Holy damage done by party members within $a1 yards by $s1%.  Players may only have one Aura on them per Paladin at any one time.","Increases Holy damage done by $s1%."
20219,,"Allows an engineer to make fantastic, yet unreliable gnomish devices.",
20222,,"Allows an engineer to make lethal goblin devices.",
20223,,"Causes an ally to reflect $s1% of harmful spells for $d.","$s1% chance to reflect spells."
20224,"Rank 1","Increases the damage done by your Seal of Righteousness and Judgement of Righteousness by $s1%.",
20225,"Rank 2","Increases the damage done by your Seal of Righteousness and Judgement of Righteousness by $s1%.",
20228,,"Inflicts $s1 Fire damage to an enemy and scorches the target for an additional $s2 damage every $t2 sec. for $d.","$s2 Fire damage inflicted every $t2 sec."
20229,,"Inflicts $s1 Fire damage to nearby enemies and reduces their movement speed by $s2% for $d.","Movement speed reduced by $s2%."
20230,,"Instantly counterattack any enemy that strikes you in melee for $d.  Melee attacks made from behind cannot be counterattacked.  A maximum of $n attacks will cause retaliation.","Counterattacking all melee attacks."
20233,"Rank 1","Gives the target of your Lay on Hands spell a $20233s1% bonus to their armor value from items for $20233d.  In addition, the cooldown for your Lay on Hands spell is reduced by $/60000;s2 min.","Armor increased by $s1%."
20234,"Rank 1","Gives the target of your Lay on Hands spell a $20233s1% bonus to their armor value from items for $20233d.  In addition, the cooldown for your Lay on Hands spell is reduced by $/60000;s2 min.",
20235,"Rank 2","Gives the target of your Lay on Hands spell a $20236s1% bonus to their armor value from items for $20236d.  In addition, the cooldown for your Lay on Hands spell is reduced by $/60000;s2 min.",
20236,"Rank 2","Gives the target of your Lay on Hands spell a $20236s1% bonus to their armor value from items for $20236d.  In addition, the cooldown for your Lay on Hands spell is reduced by $/60000;s2 min.","Armor increased by $s1%."
20237,"Rank 1","Increases the amount healed by your Holy Light and Flash of Light spells by $s1%.",
20238,"Rank 2","Increases the amount healed by your Holy Light and Flash of Light spells by $s1%.",
10771,,,
20243,"Rank 1","Sunder the target's armor causing the Sunder Armor effect.  In addition, causes $s1% of weapon damage plus $s2 for each application of Sunder Armor on the target.  The Sunder Armor effect can stack up to $u times.","Armor decreased by $s1."
20244,"Rank 1","Increases the effect of your Blessing of Wisdom spell by $s1%.",
20245,"Rank 2","Increases the effect of your Blessing of Wisdom spell by $s1%.",
20249,"Rank 1","Increases the critical effect chance of your Flash of Light spell by $s1%.",
20250,"Rank 2","Increases the critical effect chance of your Flash of Light spell by $s1%.",
20251,"Rank 3","Increases the critical effect chance of your Flash of Light spell by $s1%.",
20252,"Rank 1","Charge an enemy, causing $20253s2 damage and stunning it for $20253d.",
20254,"Rank 1","Increases the effect of your Concentration Aura by an additional $s1% and reduces the duration of any Silence or Interrupt effect used against an affected group member by $s2%.  The duration reduction does not stack with any other effects.",
20255,"Rank 2","Increases the effect of your Concentration Aura by an additional $s1% and reduces the duration of any Silence or Interrupt effect used against an affected group member by $s2%.  The duration reduction does not stack with any other effects.",
20256,"Rank 3","Increases the effect of your Concentration Aura by an additional $s1% and reduces the duration of any Silence or Interrupt effect used against an affected group member by $s2%.  The duration reduction does not stack with any other effects.",
20262,"Rank 1","Increases your total Strength by $s1%.",
20263,"Rank 2","Increases your total Strength by $s1%.",
20264,"Rank 3","Increases your total Strength by $s1%.",
20265,"Rank 4","Increases your total Strength by $s1%.",
20266,"Rank 5","Increases your total Strength by $s1%.",
20269,,"Place the Gaea seed into the Gaea dirt mound.",
20270,"Rank 2","Teaches Imp Firebolt (Rank 2).",
20271,,"Unleashes the energy of a Seal spell upon an enemy.  Refer to individual Seals for Judgement effect.",
20272,,"After getting a critical effect from your Flash of Light, Holy Light, or Holy Shock heal spell, gives you a chance to gain mana equal to a percentage of the base cost of the spell.",
20274,,"Helps gather termites from a termite mound in Eastern Plaguelands.",
20279,,"Summons an enemy player.",
20287,"Rank 2","Fills the Paladin with holy spirit for $d, granting each melee attack an additional ${$cond($eq($HND,1),0.85*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2-1,1.2*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2+1)} Holy damage.  Only one Seal can be active on the Paladin at any one time.

Unleashing this Seal's energy will cause $20280s1 Holy damage to an enemy.","Melee attacks cause an additional ${$cond($eq($HND,1),0.85*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2-1,1.2*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2+1)} Holy damage."
